N,W_mld,W_sld,K_mld,K_sld,damping,starts,converged_runs,all_converged,max_iterations,max_residual,solution_spread_inf
3,8.0,8.0,3,6,0.4,25,25,True,73,1.6607826225367717e-12,4.256039964900538e-12
3,8.0,8.0,6,1,0.4,25,25,True,66,1.6628920462835595e-12,4.019007349143067e-12
3,8.0,8.0,6,3,0.4,25,25,True,76,1.7362777882112823e-12,4.6775916473507095e-12
3,8.0,8.0,6,6,0.4,25,25,True,81,1.804889571133117e-12,5.19528864373342e-12
3,8.0,16.0,1,1,0.4,25,25,True,59,1.5893952820533741e-12,3.3107960817346793e-12
3,8.0,16.0,1,3,0.4,25,25,True,63,1.6188161922059408e-12,3.678279902885606e-12
3,8.0,16.0,1,6,0.4,25,25,True,64,1.6325829577112927e-12,3.790856517582597e-12
3,8.0,16.0,3,1,0.4,25,25,True,64,1.645572567099407e-12,3.861688746553682e-12
3,8.0,16.0,3,3,0.4,25,25,True,69,1.6951995363001515e-12,4.280686916047216e-12
3,8.0,16.0,3,6,0.4,25,25,True,72,1.7169599075828046e-12,4.447331392043452e-12
3,8.0,16.0,6,1,0.4,25,25,True,66,1.6541212843890207e-12,3.963496197911809e-12
3,8.0,16.0,6,3,0.4,25,25,True,72,1.7149615061384793e-12,4.384936858059518e-12
3,8.0,16.0,6,6,0.4,25,25,True,75,1.7278400932241311e-12,4.578004642041833e-12
3,16.0,4.0,1,1,0.4,25,25,True,55,1.5137335829251697e-12,3.0647706594777446e-12
3,16.0,4.0,1,3,0.4,25,25,True,56,1.495303880716392e-12,2.9879432261736838e-12
3,16.0,4.0,1,6,0.4,25,25,True,57,1.5242251905078774e-12,3.1151747847957267e-12
3,16.0,4.0,3,1,0.4,25,25,True,56,1.520894521434002e-12,3.058830966296e-12
3,16.0,4.0,3,3,0.4,25,25,True,59,1.5486500970496309e-12,3.2621683132560975e-12
3,16.0,4.0,3,6,0.4,25,25,True,60,1.588951192843524e-12,3.4001690352170044e-12
3,16.0,4.0,6,1,0.4,25,25,True,56,1.512956426807932e-12,3.019029470863188e-12
3,16.0,4.0,6,3,0.4,25,25,True,60,1.5679679776781086e-12,3.4448000008069357e-12
3,16.0,4.0,6,6,0.4,25,25,True,63,1.5987211554602254e-12,3.6133318559450345e-12
3,16.0,8.0,1,1,0.4,25,25,True,56,1.5152323840084136e-12,3.128164394183841e-12
3,16.0,8.0,1,3,0.4,25,25,True,58,1.5439871603462052e-12,3.256728220435434e-12
3,16.0,8.0,1,6,0.4,25,25,True,58,1.5542012121727566e-12,3.312239371666692e-12
3,16.0,8.0,3,1,0.4,25,25,True,59,1.5552004128949193e-12,3.375966173280176e-12
3,16.0,8.0,3,3,0.4,25,25,True,62,1.5863976798868862e-12,3.552269589590651e-12
3,16.0,8.0,3,6,0.4,25,25,True,63,1.6014967130217883e-12,3.639533119326188e-12
3,16.0,8.0,6,1,0.4,25,25,True,61,1.6038281813735011e-12,3.5764724515274793e-12
3,16.0,8.0,6,3,0.4,25,25,True,65,1.6516787937348454e-12,3.889111255261923e-12
3,16.0,8.0,6,6,0.4,25,25,True,67,1.6712187189682481e-12,3.9752645619728355e-12
3,16.0,16.0,1,1,0.4,25,25,True,57,1.471600619140645e-12,3.1097346919750635e-12
3,16.0,16.0,1,3,0.4,25,25,True,58,1.5655254870239332e-12,3.3499869545039473e-12
3,16.0,16.0,1,6,0.4,25,25,True,59,1.550204409284106e-12,3.3599789617255738e-12
3,16.0,16.0,3,1,0.4,25,25,True,60,1.5912826611952369e-12,3.5269565046291973e-12
3,16.0,16.0,3,3,0.4,25,25,True,62,1.6209256159527285e-12,3.504974088741619e-12
3,16.0,16.0,3,6,0.4,25,25,True,63,1.6143753001074401e-12,3.6383118739991005e-12
3,16.0,16.0,6,1,0.4,25,25,True,61,1.59539048638635e-12,3.552047544985726e-12
3,16.0,16.0,6,3,0.4,25,25,True,64,1.6402434965812063e-12,3.675837412231431e-12
3,16.0,16.0,6,6,0.4,25,25,True,65,1.6154855231320653e-12,3.833267037123278e-12
4,4.0,4.0,1,1,0.4,25,25,True,57,1.381617042994776e-12,2.873701276939755e-12
4,4.0,4.0,1,3,0.4,25,25,True,63,1.6228129950945913e-12,3.56414897595414e-12
4,4.0,4.0,1,6,0.4,25,25,True,69,1.6669998714746725e-12,4.102607142897341e-12
4,4.0,4.0,3,1,0.4,25,25,True,59,1.5589196600274136e-12,3.3855696024431836e-12
4,4.0,4.0,3,3,0.4,25,25,True,71,1.6610046671416967e-12,4.116595953007618e-12
4,4.0,4.0,3,6,0.4,25,25,True,85,1.8104406862562428e-12,5.320077711701288e-12
4,4.0,4.0,6,1,0.4,25,25,True,58,1.538547067525542e-12,3.2552849305034215e-12
4,4.0,4.0,6,3,0.4,25,25,True,74,1.6893708654208694e-12,4.275690912436403e-12
4,4.0,4.0,6,6,0.4,25,25,True,98,1.8706147741909263e-12,6.08102457277937e-12
4,4.0,8.0,1,1,0.4,25,25,True,60,1.5768497618751098e-12,3.4492408929054363e-12
4,4.0,8.0,1,3,0.4,25,25,True,67,1.659561377209684e-12,3.988365193663412e-12
4,4.0,8.0,1,6,0.4,25,25,True,73,1.7255086248724183e-12,4.456435220845378e-12
4,4.0,8.0,3,1,0.4,25,25,True,65,1.655675596623496e-12,3.97104571447926e-12
4,4.0,8.0,3,3,0.4,25,25,True,81,1.7990053891026037e-12,5.1383342025701495e-12
4,4.0,8.0,3,6,0.4,25,25,True,95,1.8181012251261564e-12,6.046385614411065e-12
4,4.0,8.0,6,1,0.4,25,25,True,69,1.7016388298429774e-12,4.2549297418759124e-12
4,4.0,8.0,6,3,0.4,25,25,True,94,1.894484569220367e-12,6.3410388051465816e-12
4,4.0,8.0,6,6,0.4,25,25,True,114,1.9888535263135054e-12,7.788214517745473e-12
4,4.0,16.0,1,1,0.4,25,25,True,62,1.6225909504896663e-12,3.5967895328781196e-12
4,4.0,16.0,1,3,0.4,25,25,True,69,1.6923129564361261e-12,4.203082326625918e-12
4,4.0,16.0,1,6,0.4,25,25,True,75,1.751265799043722e-12,4.607092485287012e-12
4,4.0,16.0,3,1,0.4,25,25,True,69,1.701527807540515e-12,4.265254816004926e-12
4,4.0,16.0,3,3,0.4,25,25,True,82,1.8076651286946799e-12,5.225930799213074e-12
4,4.0,16.0,3,6,0.4,25,25,True,90,1.869060461956451e-12,5.5357940453859555e-12
4,4.0,16.0,6,1,0.4,25,25,True,74,1.7493784199018592e-12,4.629741034989365e-12
4,4.0,16.0,6,3,0.4,25,25,True,87,1.820210648872944e-12,5.461964214248383e-12
4,4.0,16.0,6,6,0.4,25,25,True,95,1.8967050152696174e-12,6.193823232081286e-12
4,8.0,4.0,1,1,0.4,25,25,True,55,1.5040191314596996e-12,3.0496716263428425e-12
4,8.0,4.0,1,3,0.4,25,25,True,58,1.5289436383625343e-12,3.252786928698015e-12
4,8.0,4.0,1,6,0.4,25,25,True,60,1.564193219394383e-12,3.3627545192871366e-12
4,8.0,4.0,3,1,0.4,25,25,True,56,1.5054624213917123e-12,3.06676906092207e-12
4,8.0,4.0,3,3,0.4,25,25,True,62,1.5574208589441696e-12,3.4412472871281352e-12
4,8.0,4.0,3,6,0.4,25,25,True,66,1.6525669721545455e-12,3.894551348082587e-12
4,8.0,4.0,6,1,0.4,25,25,True,56,1.5098478023389816e-12,3.1289415503010787e-12
4,8.0,4.0,6,3,0.4,25,25,True,63,1.6239232181192165e-12,3.5962899325170383e-12
